id,название,тип,цена,ширина,длина,высота,материалы,цвета,новое,бренд,url_товара,url_картинки,стиль
97,"Шкаф для одежды, шкаф распашной с зеркалом Уют",шкаф,34379,160,47,190,"ЛДСП, зеркало",белый,1,пора спать,https://market.yandex.ru/card/shkaf-dlya-odezhdy-shkaf-raspashnoy-s-zerkalom-uyut-160kh47kh190-sm-belyy-pora-spat/4621615998?do-waremd5=jTIHk_Y4hXkdc-JujQ6oeQ&sponsored=1&cpc=DdanWdMu_8xGJC1mhCFhlF9nRCJcUiFG0av-mdzem_K2GNZtk9GKNfFf9aiG9YINCWQBauZa4FyZx9qix7ENiN-l8aVbZEvbEZNqGCmSVJBuVrB0Fb5MiFdane37twGfyU2A5yqjOq3-gA-tQ8EJJVDofE7-DlE9_K_79Bi14lb-K4EXxuSkgcFLHRF8Q1_8BQkU3HVwb900OvKHgyTjexpegYHBEAnnP2jnVT207YtwPZgEvKtt7BLfVen8iISwWTWPdyiYPiq71M_63pQxCrbQKfkwympXzdCsDGvBRAzKxGjYbYToZuOU29qBGjR988hCcobFoTJ08Ujsvrva6TbNqGuYhwbM--79KPvsa0oRs1CvietNpbTo1C0Vo22TeQueKpddUKdJrzt4Vo5NfGVS1VesFtx4fbeFjyMZjRAAiOvaOtYoaLZt-iKWZ5pMB5J4vDjsfMQbYgczaWQZf5O8isRGwVuxynMaUW3hu6AOPJkNtL3Aj4oghD5llkw8608Gd1cGuBu8Jn-S9IV7RpQ0xY_F5wPmeWVdg74QljPb1kaILSMbzjsToisQRFcbORbiKTra0JyjpsLePY-AROEU47xZs4tRw8OWnGaS_gl67ijOD4_vJVe26erBlinMNHYUMeCWMp6DNUbi4kq8O8Axi46rg-0Pz7ELnt-dkTxyM2UIgf5VyTgEE3DmBrrZ0t3Egvj6Ah-TtLEre3za_7LEc0U1Efa2Le5w0wQZruK7fM5A3SGZtlZrornsF0rgUNwsvDU1YZZ-IuNR1AmZDy1cCSYrLdIecU_oVoZgHI5zJoZFuGBc1xhvTsyVk_xTJ_gCd_qJmkprgCqhxVOQeEnQxEfiP2jdawHgfrshtlklViYwD2L6xddmiNy8PBLJyOBgGyg7BznvITY-mgSsGNSVQwnrksor80rOhvdc-D1s4vyyAfju970S-eDtIp9VQunndzPP2wcBo8b36ZVI2mwGfrg37Bs0eVq6FDqzUto8HGaqyOIrYAJn5Lch8riQ8Ox9lAUqMRUBOum2A-jkRg%2C%2C&nid=61312605&ogV=-12,https://avatars.mds.yandex.net/get-mpic/11918420/2a000001965dead8559ab551c304feda47d3/optimize,лофт
98,"Шкаф FRESTER для одежды деревянный в прихожую спальню распашной, от производителя",шкаф,86420,90,47,200,ЛДСП,белый,1,frester,https://market.yandex.ru/card/shkaf-dlya-odezhdy-derevyannyy-v-prikhozhuyu-spalnyu-raspashnoy/4807698594?do-waremd5=mE5NKD5--3zTdx3nqIwUQQ&sponsored=1&cpc=DdanWdMu_8yEAMAkoz7HzKlUAHqvZZ0IZPAsPae2ML5cUZ-KDqmdJDKMPqZeTMnRW4eTLIRkpiBwQ6W7lfhf90l2ZcdqWi8Nn81BHMJTI74gEc-xw1YTNuVu8LSFXaeiywLlBfLSwTrZBFp_2vgWgnAOd5CzSFLfQ1f2xngeJhGWrzxMkAfwkd2IjoMs4pJJxQ_wxbiQkr_tYofnBEhL4Ta5qlHxlTn7L63lxlkEowHwT3eNRD515rkNt1xurviIvVuMqexH3iJf8oSSboewvRnTw3pkvQbLPuOXUplpseoWrBYPcMrw1ZZfacEEIDiaxipW4fqQjBWu_05xvgsmnSsKYMh2U5uvuRpQK74aZ3WEHTUKs-DQz32it4SIeJ8y2EWIhA4eJrzaVI3FEMdh5iAGDelkg3VrV8bwf3rrrlCy_P1e6I7pA-2WrdxIRHVhwbv5WRhH2XMNJQJv-4wHlsP8QObYVnBvqreb-QytmTRCYDbFvCLJmiXyOg1rw3GsyxWCyUnUP1E9MPXOG7P6t2aB0xLG_t2lM5O39UzwHzvozped3UAplojstTTqOr3u7O_ZwqZcUrL8FBD5Ma04DEn6udFYYgVdBJcH3deIAekNziO_n2RDJCarzkDkIFqArl8cnjaaDz3MQCYTo3rFUy_c_byd_W492-LVvPEaOapmJfjTapS7FFVST-amKM4lhFmuyXJryIPQpn9eA8ohjTsuwkFz3ZfArJOJHqV96y-RCOTYTYDSYxJNT-VghMiFpBP35uFKCkYqq-aknlcdaVU1dEJkheopeAMhLCMz7X3QK92lkc_Vum3ytscIJ0mPlSWS8OSc64AQTV5VpJDub--nZFGZKGI9T0OTF7TkPvHmHVRO6kvzUJFlC9SaRfqF0ztD1v-uOa6wrigbNNu6wLimk6mn3rhjIsxueMsl68vZTuegOiXhQih1d6FSZVA9qu2vIGQIqkXvYPCY5VSBmxtowPiaTQ_sotN-hICvX4MxY8SNVxKPNlzyUpi7XFtp7NUFDXDOqCRyL73Y0A3dRpbCr9j6w-bz7zGahx7wcoAWmdiyGroGCWlqIp0vF2ySyysM9VbjomZkJJ5e7_VLMS2NnJE6auc8r4NO0_RUTc7aqE4LluKoM86Tv7LwGQhGeUFXALJI9u6k_V3qFWOlNBm1l3FpNCEoQqIfKmmyoODYx5TtPbOSZA%2C%2C&nid=61312605&ogV=-12,https://avatars.mds.yandex.net/get-mpic/16626161/2a0000019acb1d71a056e03f78d84b07dd55/optimize,современный
99,"Шкаф Эра ""Квадро"", распашной, 4 двери, с ящиками",шкаф,42606,160,49,220,ЛДСП,белый,1,метод стиля,https://market.yandex.ru/card/shkaf-raspashnoy-4-khdvernyy-kvadro-belyy-160kh487kh220/102304207665?do-waremd5=oC7OPLyRNEsgqVzjRPFZ5g&sponsored=1&cpc=DdanWdMu_8xzQ6CKIZqoxLzwmURJ9OkaPWq1OB8fezgWn2-NkFjtkrVh2AZQegzkFR1LalFwo4MhVbG3qT_-PwuJoLof-kYJtkahvJqOf7nx-aBmzvz_dgxpg59oXz8ADMFExnMinvOiouE75HqWhYWQzpZat8ezy7ofu-OinaImBc7XEiZy4EQz8V20REDO4qsKvErhMw3Og8l73S1IP3Bq0sqphGCkRGo-CTZUQqCFLmjIrnqPcA8lEZtcpZrFNFznVcsD-_S07iAFDrSBqE3mDiG6lKhwcgDs3x51W3He0-oCT4wGH2_6Htp1SRKgvlyC4h3BSYAyeEfYz2sehGx5FpI3LKEkB-Dfau5kcyazNX8icl_NFuq9d5brtpTpJBZR4JCXL1_M0BZ3K8DaMKfYZ_lK3JOLL79bVCmS83d30mqSqsQvCB2yRBFEU345PwmvUyw2_jt4iGc9ahZ5JLvVRI6-lI6GoUEM0C-uxaKyEegBm70QEh8nasHmkxhZGmdr5MN1EOB-33DuOtgztHZjaiN-Gpq_fn-8j3IKMdi-3UaC5dGIjhDnBrnvGLPqSRsYZJTf7_ylf_tS0gJ0C5d3mkdd89PK6GDb9pXIvVAepWARpVDiPCYAFeUSxfFR65Auun1ZOgE1w96YlKQ55Umb-mz3L5hocFlvph5ko5kD5co54cVHy-zJ80LotN1WX5AVkg6UxDW7XA_onAGXhRthiEK-MP_ymiuml5wOx0JoJfmISF1z-qVkj9-E_TqlXpD4wUVS4CRX6-AYXtmFTW5o0GahFRgZXunkH5N7gCnMKbS2Cr_Ed8G4dJ8FQzsJS00M3UPexNeWgBF2NR6Lmg%2C%2C&nid=61312605&ogV=-12,https://avatars.mds.yandex.net/get-mpic/15530825/2a00000198a7e1ede7fe59a6d1439708cfeb/optimize,современный
100,Шкаф распашной МДФ Моника W1,шкаф,220000,300,60,250,ЛДСП,бежевый,1,vert home,https://market.yandex.ru/card/shkaf-raspashnoy-mdf-w1/103681421647?do-waremd5=_Bhj1Q14jJR5R4ILisv5WA&sponsored=1&cpc=DdanWdMu_8xoOfREBIR24ZX-n3YZTE7qJILnfvo1RHsBGxD4-vOVMIHhXQ_AlLEQVrYz89W-9zn6GmzlYIOuJsH_mENXPpKy5zpCoqpSG4w7SgM0KdbjP6fiIRDw-qCtSSS283sZ3sIJGqa672-rp93RsIpVKp4j7VLVI0Jt7yOKf0-gpYv922J7wup0vdCrn2IsFPgzRnXyX2qHtYzTtAMg2_fC153oF9qlF8umhBCrSKgY3HepNyTnxLCuP6xQmb0iAk_-Un-Mczmf-p8iZVogt5qqlx2s4GP-aFQRjAmt87Wj7IksJGI5jECUonqxrBc464FXOyT4bII8RX6OBRhPqVBNcFnWIVrCI5xQqc4SCFgXbrzAWFdY0fIs4-1F8TvBtkQq0UIimY25fwuMbSTKEZDr7DFP9CjQ4EofQDRwHCAacimQFi9dJoQ_g4PxJEaVz7F8WqKi9F0C-dnLEwW5Gi6IZYdqk6p36GIcipIL1dcnyJ7NRH_vjqAUlCY57yqWeXXKTDJrG27IUzLvgjRpH7CwrcZCQw0RiMa1LOf8auCZ3E6KabSzgDpQva0Fcd2FpiSI1EJag0dHMZ-JANMmit1PPYKRWnJC4tW9xA51MYqWUIv8yRz_QIysPzhLYEynA5CMpBEQ-UDllxX0syfUEG9U5vEwoOK7ooWZy7CRtOOs1M--J09h_LK7nNvy0H7GMj5MaZrBAdZd0YguOhhhKIXvAUikHvPWEDfGHwnoxsPysL4p5dIfdWfhedEwV0bBsvUNpB-DtU_dx9H3lQYKg6WtxgbQyXRmXQs8Hl48kP644aay2WfdqqgQI76msUGwfv0lNjcMl1e1kzB9pdXNIIlOa_aG&nid=61312605&ogV=-12,https://avatars.mds.yandex.net/get-mpic/1713519/2a00000193ac8a50a4b82375afcd30360d3e/optimize,современный
101,Кресло- мешок надувное с пуфиком для ног,кресло,3000,94,122,81,флок,бежевый,1,rushew,https://market.yandex.ru/card/kreslo--meshok-naduvnoye/103040094350?do-waremd5=xOB8B3_I6c19OpvpraSlLA&sponsored=1&cpc=KTN1f1IlIXe9UkR_xgMcF_1eaC137IrQIDRfaExRsQAcqtlasHUexkXOSNvB9JEDr0lxIfK7zEaxQ9_RYvhBbZRgcfLx9oMvvQkVxzkFyZz6T9T0cS3TTMWQhlbva-iGP2-XNGDGeWs3Y3R8_2Aroz_m2zCHZ7H93KputWmqLDnhCGG3bdkLTfIpoYOLnR-TN2AZKFoggcTQmpEe8K6IOmjuBdKulHMpXWxbbwihca1OtT8EmmrtHn9duVQD0JNkVNsuK4E7Ec8Wx8A4EVKq7BfvCrhW5h_r2JnNP-BHY_xoVyJ0cP5DNbFXjG90C0iKniYx-l_Gmg40fauV9l5ljl0rv6tBgBO8VjbLbGc2M0JPS3NeFUr9j6_JCWVE9QKD-R8gRFBa2Kx56m7lAn_SWJHX32uXZuBtgrMYEKlPQyouS3FKNQOD32-gpby6WN0DeeDI5egVN8sGVGSk5qfxUF6PQ0RMwvRFS7ibU9w3kbu_TKzRAXgktBztJ0PX95vNvEoidlprvC9MxVCNk0dIJuSZb8pYuEQSiv1I2XJ7qdwIPk4lch3nnEepC_KdLBgraHWVYACGqiYW9d-P7JqlTFMxYRz0nfavl01dQkcjowNaF5iIc8APwtl_eae5QGcv2kdlFndbaXbOyyNFuAfCbZjwm-ssjnqRNw51j1cPeDX0o3xilZ25K5YHtAPfPmu_FLzzy3SS0Z7jABRjaBuOgRWhLqeJD64SmNI6ljYi7Xruza8ucaqnSlveROa8ANomy-mLnz0s0xLZoYbESek8HxYcfdtDaB4AhMU-Ou_GHkbBDn1zmQrC30ANAC9NgTuH7AqEv2aW6_P6-d6Ae0SNBeR3FQgDNIGmekaT4AkIOshkajzMn8aR2xXpMRBHUeBogdvdsigpQ0N70BF0KCScZqxw92hr-agDYDIpxI4Kryns6n76e_f1fin-OhTAO35kiTIRgLK1fequC2ONpcyjk7m9kFUXJW_kO4m5dbP3yqmyimSB_bRAIR6pXC190xgiziiYT5rPV6oBPCstRCSBVg%2C%2C&nid=62193444&ogV=-12,https://avatars.mds.yandex.net/get-mpic/12525950/2a0000018fea6abca4e13805ef572259406f/optimize,современный
102,Кресло Либерти,кресло,15750,75,79,89,None,"черный, бардовый, бежевый, белый, голубой, графит, желтый, зеленый, изумрудный, коричневый, красный, малиновый, лаймовый, молочный, оранжевый, розовый, серый, синий, сиреневый, фиолетовый",1,мирабель,https://market.yandex.ru/card/kreslo-liberti-chernoye/103189528932?do-waremd5=39kExpVynsa37M5OdU3cvA&cpc=_VrYzPEZuwIsqWBp_mXxFyvlfSfgwnNx8EDi7Rviu8-SyPU77QEuffEqxP9kKsQ0Kuc-owGDiFF5oi3xu9_USZQL2-eNauU2sO9hw6t7uzncohXs7qypOGZYpPjjiOKaQJMHLA8CuMtJgQvtLqp6RRP8j0uAWwMLJ-heayvqbemot3g05rsyfvhuHhzt-6V2lWaHxk2ni6ttHLH65vw5AATvv9bkJZlrOSSybIBYkH1t--LFpeP9ZappE1DKOlTS_QqR4PpC05J-4EXIxpLKnq5Mj1L3OVA63uSkG1kLMbZR6hE5OWBvfONps26n2sID6ziLvmpHGCkdDHm3y8HqaXTnmoosu05WDmLnsrHumSPy1fokXKRnghX-xOz2yCUauolq7DZmo6113RBh_XeXoKRPDraeAtZskcwj3LqofmsUCmjngDkhRsbBarJOn4bWhFn2-IDdPt1es7ote8nF_Ltwujxj0UwKau6zfZiCEZ_WmiPdwzrIUElicZBa-jvp4zo9yyszvjQYj-2zys0IF50BDbYriJRsmx5nD8RrUWygyeDYTB3Ec-YR8EwvwWUYj1djZ_XqLIVjanjrwbIMOWTMiglHCZyvN4kcrxc_h0xAurpV5ra-MvYSFZ6Rr3YFV0rfbiZQUWtsq-B5dcc5KGGXGVdNibYqalHq2JVffWXeeFDYPfBBRs8g0nDfhNsiJPrRu8dDOXsVz8Q-6Q0ZRDxfdrK9FD12GXLNiYPhg9HywWqknwCtEaOmSVPVYR6Dh_0LzcpvKi1EeGOz-WkbSe_BFNqLq8iBf5Vbn7AixYdGIfE1WtYt5vyq5ul6oPkW6cRP5tZ8DltlZCbz7KgRVu5soH3GZMKdH_nFit11eiayBVVO_b9K4_9nT4VKNowyD-QNa1MWl6XhbWjcI1Ek14gRitXvk9n9EO82qdJbOLuzF7pr-2VhIkfhSnos6vr3Ph-4IYYuMhgp5ZrcdMLJoisGiF0Y9lqC6ox_aFkLCsvY1WuOO9nTvmGt5N3zguicr0No0SpYnhERTFUaySkHnlVIDZOdEorYxjEg1yF57DmDIil-9Mn0JU8ZHJelb4xyVq5iPZXEj9yLvp9KDXVPLhcA0actn6GKIp91VE-WaVDlRplEqgPtiCuoEbwXnGw6jUWkSfJIDtIH8lib19M7fA%2C%2C&nid=61987828&ogV=-12,https://avatars.mds.yandex.net/get-mpic/7067087/img_id9039562310026868776.jpeg/optimize,классический
103,Кресло-кровать Палермо-лайт,кресло,50000,86,83,84,микровелюр,бежевый,1,arca,https://market.yandex.ru/card/kreslo-krovat-palermo-layt-bezhevoye/4814699872?do-waremd5=O7u-b5etlwxdaUaVpL53jQ&cpc=acvMCVunRpVHsisioESsF1hvPkQxKOxxBVQiZzhTUgjKQWciSlXMREqPtmrrso_QoyErx7qH7Y1HRrl-f8sFimCd223ljSP7jcQiFugKkctMiJ2ddfxpsdcBfjQrT-QsDxbC1GXWScagYabM6z2VZM7L5_FI82TehOlU4J7ssuyOXNdQqoMdPUNomJUIjBL23jZB4pH5YXrWJdj7D7LZSAROU5zKcBg9vS7S9BW9Nq9wudZJBnRfbA%2C%2C&ogV=-12,https://avatars.mds.yandex.net/get-mpic/5312584/2a0000019ae18eb229e9d2cc6df664996a7b/optimize,этнический
104,"Кресло реклайнер механическое, с мягкими подлокотниками",кресло,105000,92,53,95,велюр,"бежевый, белый, серый",1,liyonmebel,https://market.yandex.ru/card/kreslo-reklayner-mekhanicheskiy-raus-mebel/103800911316?do-waremd5=-6x2PppWNJB0weznNloFjQ&cpc=cjqs0DBegO7rzUOgVuQpvtMNn8ErpE7brc8PaPI_J66vFH7Cj3Vn17S_Avdeaze_rAjct10el_gPKOtrUsElztV6vEJlEJOZHwB7hx7lGw4cT_GRJ5_3ZaneBGn8QQwT7fYwsquZ70etREUoFejoz347e3I3Oj0zlu4vxdgQeKZnSJFw0ZfRh3LKCc0sGZrmm2qP1b17tsJpUQyyZiTtKPAOe90OgyiRNuArrW5K-nW5cxfNrtGrmqcS7j-bc3QCJOSADUQ4r6k%2C&ogV=-12,https://avatars.mds.yandex.net/get-mpic/5235448/2a000001954d5efcc1a2c0ffc936d11a7c9c/optimize,"модерн, современный"
105,"Кресло Козырек LUX, Центр Мебель",кресло,23990,75,68,84,велюр,"серый, лавандовый, бежевый",1,центр мебель,https://market.yandex.ru/card/kreslo-kozyrek/102230900784?do-waremd5=ZKV8K5DU2I7OMi7femEmmA&cpc=cjqs0DBegO5iWBPUkIaYjLNfYPTWiXO-WqgpIeJo9pAOYG8yflyRZsGrkUSK4HHPTSKMpU-uKasCrIwQu3ep9uQfB8BRPSury_liR2AkJakUeLMxNwbOeQDw3Ra0sxl7QJ0dBsJ9Qcf8gRpW5EUvexroOiruUArTvjLo7-CZ07BO6xssVJtE5BQex2E1HkkCwbcE_lhP0F_vfW1VL43YE-zcs1WmPKOIuTUsXxkKldWSxyNR6kQRQKUdQYkjeMlVJ1kk6EsWD2IVGVDBWzZZMnFMWCANP17g3xt95dIQ2uodJmwy4AvHWfXTOUX3-7N5i6uQLuvwSBWpueOovAS_FN6q-XY1o0M4AkLv-1_BwbfAXZZb7jiMY9meTz0b1Qy_Ms3NeEri9FlFbBtmPaT85OlaCgllEtWLhQQaz9sH16M-zKaUXXguh1xrkeZgNE3hJkx7N7hNya1S9xFnLoy9p8MHdcYubYKuHH54OsnSzFlJp7rxd5LUCg7ESLyI8l8Nu7yMgge-dGJN6Lv5sJHmmZLvW0UUxklCYvIGgRoUtCJhNU0s3WPj6UK4HlBUGwKKBd5qS6qU7gSK6Mw5PRPuUKhheb_y_glmaZlElbZLelpExtvVgvaX2tnFzoZz8EJitvfuhbpQkpfFOQCYDCKKncZtHPAEza2iRbmCiwCf311VDUeNzHWDA_cDOZnnrIajDQSfYKpMONyQlGUS7ibBRkhvUw77Jbsr-iGnuLRTNBT9koop1Rt1fyJj-jKMR2YN8s1IA0pdOr4EThrYJC9b49uM3IaiONpzxT4fWYMqDIK8fmAFvKU-cdbx2mxKdrLYwE4h2fI_jhCdVPYdXh2rrEakmAvxdKGAkIxn8lApuRRTD_C6FazV9LL9gYkGJi7z1QZ0mlNfLAOXnx5isVZ2xrAyELbjAjT8aurK4zF4mhIu8ZBQOnPPaq-tzWSqYyUgO5FCg4UAXfvypBl5CWUsmGIh7UT00945FrRUSajMx8EY18CvviiCow%2C%2C&nid=61987828&ogV=-12,https://avatars.mds.yandex.net/get-mpic/12308096/2a00000194886a4e654ab586fff4d071bf61/optimize,классический
106,Кресло алекс,кресло,38428,69,73,85,микровелюр,"волна, изумрудный, зеленый",1,петролюкс,https://market.yandex.ru/card/kreslo-aleks-68kh72kh85-sm-neraskladnoye-na-nozhkakh-volna-velyur/4575526969?do-waremd5=EXBmC3QEUcs9hRVcNNiqPw&sponsored=1&cpc=DVXQIyI7QiFrWF25JcE7nARQBOVhBCIhUofc7t_Wel_O9tLBRbpAhZEirMlulhWqYuB4vEXRPln-WBtlMR7Q8pl9zALIfc-Qr5-Sx__R9Ynyc4jaKnOJqa4NXJFip9sAkVbUbddfKWa9GBtMEjUmGSBoNETehy5we4fU6T2Zghqwk34ypeUkMtSxm0-gJ52dM7zo9eUSe-sWyA4FG1jWXlf6lzWhR0jimBon6LQCZsNBSx017UFVdunvv_BRtqzt0koLwgUyvst8B2erAXsLoqPAzMsbfd26mUHP0lld5R_6uPYcgYRDXpiZANOFP5TiXULoDHCYdTAdKR0rEGnTw_RxJAkLUxyuAjs3lebQJho%2C&ogV=-12,https://avatars.mds.yandex.net/get-mpic/16146719/2a000001988381092ea918fad64225792e1f/optimize,"модерн, современный, бохо"
107,Кресло игровое Knight Wolf,кресло,13000,61,80,27,текстиль,"черный, серый",1,knight,https://market.yandex.ru/card/kreslo-igrovoye-knight-wolf-chernyyseryy/103575149295?do-waremd5=d743-usJ_K146YnRFPW2Xg&cpc=eM0hqWDz_fjxau-jRwkMWn89VakLSqUbvicmWxmH7NBzJcODnT9QNEsoNpXbi9XhO77nsLh8CeH38T7smtfoZWcWks6gw6un95pTNkfaHqjX72hWApoakTAYiLKu4FXE2Q6Fz6r7o_5axyJb7dtQfSWHPWUSSoPl2qoT8FbPJTvtQHIMleJhKjg5yJL2SDpyKoCmELEekPUDdJQG6IQgM5ZxyM8aWeoulrDgx9bk1hnpzP2Rwu3X5lxzkQ7zEV674gOiTAGDys9mBq81YMaUfpBrG8gwbhPyhwy531Nls6Qdyub-Ytba2lJ7UblHzWJFFPqdMW7y2FNM4jb1Si-daY7UztzCJOwDfcuEQpnLMsckgK86rF5CUgfeZZb23UfqxNF6v9vvCHkDx_yG_fFB2eNkuU150SeVBajtEWHoWVd-IRA8zST4xIL018s9xOxdnVxV6Jjpnld4K8hrSsqKJt7MOdWSIQ15zFxu4gXWk0pju4mDtc16Cdaa6tUJ_Fb9NQj5mFCK6ABwLM-r8jUzf-Fb28U7-gtTNpA-qmRsr7A6HMKgTNY3Wi0i--ft-zsLBTOjr7-QTdnJlCRm_-iixHoEoh18ODwnSMAqjbdkQ8JocKu20Twis_FPFVxGbyzjyQnEGgFO5QdPXBdPsYPpJzNLU-1vs1KxvSA88hJvMfzWy2DdJZvoTF4hsP39H38eizHYwnyt_msrQ-FUi6JsnHAElOMB0NU-1LQHCf0GVHxzKiywUWrkdGm0vJBaRH50T4oaFwMlcMyWhhCFSHB1HKmh1iLMXO7QfibAZWK7o3sLn6Drb6kr9l57TbHf2KpBDee90Uy0HxRGfvI9XQozUgI9tLV9dNQmGmnOHpxO7j6SfoleEEsQSXx06MWWO3aY3694Pdmoq6MoyU5Mx3mrbGPvmv79258-6-6uyNbhigLaXB755LyZeVkWl8I2Jl6qObwtwIXagONWIi3wCnSqDmsBvToDWMLSbgdDZGsRQfMskTpug4ieuHeTTfQe7WvIJbio0ygIYa01eOP7qs_GshthZi9hWF9fwvCpgeNTTmiZciMzg9eguZ3_xaDuvdzb_FshN0hCcatEZiRqKTvV6DU6vTt278fqa_bCViyZld2OvZIs9ElCZXRj9LL4A83KOlwIaILxP8w%2C&nid=18049602&ogV=-12,https://avatars.mds.yandex.net/get-mpic/12618610/2a00000196a2798e9f14d92cdba34bb7a718/optimize,"классический, модерн"
108,"Кресло Ретро для дома, дачи, офиса",кресло,19180,55,50,101,текстиль,бежевый,1,кресло сибири,https://market.yandex.ru/card/kreslo-retro-dlya-doma-dachi-ofisa-mokko-verdy-mocca--brend-kreslo-sibiri/102423178847?do-waremd5=bcjC8V3B_F57uQYaraWewg&cpc=eM0hqWDz_fi1521-UWsKqdCli48a9IMQR6jqj6xnMtILwf5q5taSSa1RSzFBHCEN0ceWdaWO_Zc0lBm-lki2Bj76H56d2pM3g4-z39htXgihkzmfXs3bXq6Sl1AP6OoUfYJMNFqOrALgDGO1mnNS_8TGhbnZF38JdF5pX8Q3JSxQVMME7bHpL7ZELr5KbRLDM_Dvod0R5f-ZIMbH-QHbRmmmYIq70NKgPo_aNLRhQF15zCWwltwZeL6AH4ur1U_PWuQ-KODhv7jXChIi91kuFIuFDw0VsM1H7dQ1RqP8RPPStLmxImG-6vcY5hfACDKyTueDKYbfyZvCfXusZgr8IoZPtbTmTmhvv_EPSThfKiItDCdQfymj6lo_ThgIcn-IIRezQCXKko1Nx0xsxJpKMP9mSujqk5sh4ujC3oCMhO_F1WYwLFmKX10ouc9HMkcQNmxhr6MfP_8nkve5omkt9_fOcaP9I3vF_FA5ZJomR4myjBg9FKlK4z0O8Kl9Tm214_mwXWfynbEUJHnCeLw9f5MIg0UOfnYXagKyLCO14uOPXhKy4nJrkhUSBeBwQnYCvCtk5TOnu6jOm6uzVev-RjZ0JMtoHsEZCfpZ4CDriGUmwUbWeugxyAeRpSfqFoKJ5FdIfSxX8Ey0t8Xmc8BHobOXzMPBS6OdmVy5n-Iv5Cp0ZjsT6g2LdzNKScUenX7xDRlVtAr8NnTXgxWm2LzGBDiTf-Y7P5eWEXzSgLw5sR7ylIi2pGRKEp1E4v9EbImEgHbz6QSynVGU5vab-oStjKUefb1u7V9yON7BYsISNek8tBh1TOAMEeP4G-eq3CS_6RXK_UX6aDVfMym9PGp8U0B0V33Dn6RVMHjFA8kn0UQtQRaNE2zLB5YsdY9-fsRKo-sY8BPkiid3-q-Vxpl-pdADQ_4knLaGj-bLZYPZaubOMSA-gCpUrICmNWnCUw09&nid=61987828&ogV=-12,https://avatars.mds.yandex.net/get-mpic/5346941/2a0000018deef52391985cae2daef3cb1ec7/optimize,ретро
109,"Кресло Шарм-Дизайн Классика Д, мягкое для дома и отдыха, с подлокотниками",кресло,34990,71,93,90,"рогожка, искусственная кожа","шоколадный, бежевый",1,шарм-дизайн,https://market.yandex.ru/card/kreslo-sharm-dizayn-klassika-d-myagkoye-dlya-doma-i-otdykha-s-podlokotnikami-shokoladnaya-rogozhka-i-ekokozha-bezh/4307301166?do-waremd5=TiuFEfWrlrlpCwOHgUrTZg&sponsored=1&cpc=UGuNEClKzd_mrncOI99cPDeEK1mI0nRf1pImuvLcuT94oB2JGGDaKq6jdo_SR2zDiUlSl7dAWTugevKpc4pbQY-XlVVuTzf5kxJ3wAcmiDmYgXr6fIOZzAKy5iB28LLjz4ghGI0UcK6CTN6DuWODCryUUH0opGvgrEyi0CBB5_llTtQGohVFGSaFCaQfHMLWnceiAxSmbacwguxv0Nk5wVVXUZMNLdfbaYbUV4udpHdeuyELmMKEqtniGFwXESw6ddOpVOrH-gfzOHtlIpv_okbIWtbGkt1b2P9d86m4C3kVttycs-HoseiEpwFW1DYCV9YZrrCt-Xfxx6RArlEmA_N-ONp1DL-OZvjyStIfrbCoK8B6AnU5YWTPZZt8hYeWbSAAnygjJfgb2elai8KCjjCH_iTyjJtTQDVgnzjKdB2e61bh0HiYJ0y4jW-o0fWXI4EhBYkPLGgOE7dYqaoMCMpoVsnL7UAwx9k2kQ8KCq6oCe3vCRdpoQBREmYf02O7UUEJIQTPI_Onpnn4F5kG_qCU5g1GKqYDPkuKop9rlbwyiyAo-HQddv5Z1wYB6gngsK7i60H26ynRqAKOo5aNMWZI27P0hxzOrAHaORhSxzZpCKMnzdQaahufAZIMWg1memWJBQM2O8ZbZ1YApecX9O8GQqjlF6O_yjaSi3fDGtpkd-s8yqbQwyzIk-Sq2Soq78LK2ZCQUczkxKfSeYcEhA0R7-R5TTuTI7TKMP22JbNgHz9jj_tOasrK_WMhFvihkc5Cdw0pmCuvda74CVwKSRFw-kcCdJ07SFv1nlViowP78ARsiVOVGbIMeIzCPZp_dLMTMMuO6nm8h_jmsaQ1l1Bbd6DRTwroutcsibJrlMv7uX33JJeh4_Q585OEFUR-zCJNPWMB-k183GPNizkRlhdeB3fyj2jk1InmjU25sLNUbQr4xYsZ3UGDnnFhJlm_h8pDPh-4YseqVzi_NIinscnl0S0vqttRppKlazt76DQcGYwWRJfjRT0bU4NHhddGP97RUTgD2xFful1bhF4tOA%2C%2C&nid=61987828&ogV=-12,https://avatars.mds.yandex.net/get-mpic/1537623/2a0000019606952ec0c3fb971b001ff804ce/optimize,классический
